convID,messageID,message,Intent Identified,Correct/Incorrect,Entity Identified,Correct/Incorrect
1,1-1,"Provide a summary of chapter 11","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 11.0
shloka-verse: null",Correct
1,1-2,"Show verse 11.11 from chapter 11","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 11.0
sloka-number: 11.11",Correct
1,1-3,"No","shloka.search - no",Incorrect,"",Incorrect
1,1-4,"Thank you for the explanation","",Incorrect,"",Incorrect
2,2-1,"Display verse 10.10 from chapter 10","chapter.all.sloka",Incorrect,"chapter-adhyay: Chapter
chapter-number: 10.0
shloka-verse: Shloka",Correct
2,2-2,"Yes","",Incorrect,"",Incorrect
2,2-3,"Show the previous verse","get.previous.sloka",Correct,"number: null
shloka-verse: Shloka",Correct
2,2-4,"How do these verses explain divine grace?","get.previous.sloka",Incorrect,"number: null
shloka-verse: Shloka",Correct
3,3-1,"Namaste","Default Fallback Intent",Correct,"",Incorrect
3,3-2,"Please show all verses of chapter 9","chapter.all.sloka",Correct,"chapter-adhyay: Chapter
chapter-number: 9.0
shloka-verse: Shloka",Correct
3,3-3,"Thank you","",Incorrect,"",Incorrect
3,3-4,"Which verse describes Krishna's impartiality?","get.previous.sloka",Incorrect,"number: null
shloka-verse: Shloka",Correct
4,4-1,"Give a summary of chapter 8","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 8.0
shloka-verse: null",Correct
4,4-2,"Show verse 8.8 from chapter 8","chapter.all.sloka",Incorrect,"chapter-adhyay: Chapter
chapter-number: 8.0
shloka-verse: Shloka",Correct
4,4-3,"How does this verse explain constant meditation?","get.previous.sloka",Incorrect,"number: null
shloka-verse: Shloka",Correct
5,5-1,"Display verse 7.7 of chapter 7","chapter.all.sloka",Incorrect,"chapter-adhyay: Chapter
chapter-number: 7.0
shloka-verse: Shloka",Correct
5,5-2,"Yes","",Incorrect,"",Incorrect
5,5-3,"Show the next verse","get.next.sloka",Correct,"shloka-verse: Shloka",Correct
5,5-4,"How do these verses describe Krishna's supreme nature?","get.previous.sloka",Incorrect,"number: null
shloka-verse: Shloka",Correct
6,6-1,"Jai Shri Krishna!","Default Welcome Intent",Correct,"person: [object Object]",Incorrect
6,6-2,"Please show verse 6.6 from chapter 6","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 6.0
sloka-number: 6.6",Correct
6,6-3,"No","shloka.search - no",Incorrect,"",Incorrect
6,6-4,"I appreciate your assistance","",Incorrect,"",Incorrect
7,7-1,"verse 5 of chapter 5","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: 
chapter-number: 5.0, 5.0
sloka-number: ",Incorrect
7,7-2,"Can you share verse 5.5?","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 5.0, 5.0
sloka-number: 5.5",Correct
7,7-3,"Yes","shloka.search - yes",Incorrect,"",Incorrect
7,7-4,"How does this verse describe the wise person?","get.previous.sloka",Incorrect,"number: null
shloka-verse: Shloka",Correct
8,8-1,"Show all verses from chapter 4","chapter.all.sloka",Correct,"chapter-adhyay: Chapter
chapter-number: 4.0
shloka-verse: Shloka",Correct
8,8-2,"Thank you","",Incorrect,"",Incorrect
8,8-3,"Which verse talks about the nature of action and inaction?","get.previous.sloka",Incorrect,"number: null
shloka-verse: Shloka",Correct
9,9-1,"Provide a summary of chapter 3","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 3.0
shloka-verse: null",Correct
9,9-2,"How does this chapter explain karma yoga?","chapter.summary",Incorrect,"chapter-adhyay: Chapter
chapter-number: 
shloka-verse: null",Incorrect
10,10-1,"Hare Krishna!","Default Welcome Intent",Correct,"person: [object Object]",Incorrect
10,10-2,"Could you show verse 2.2 of chapter 2?","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 2.0
sloka-number: 2.2",Correct
10,10-3,"Yes","shloka.search - yes",Incorrect,"",Incorrect
10,10-4,"What does Krishna say to Arjuna in this verse?","Default Welcome Intent",Incorrect,"person: [object Object]",Incorrect
11,11-1,"Give a summary of chapter 1","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 1.0
shloka-verse: null",Correct
11,11-2,"Show verse 1.1 from chapter 1","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 1.0
sloka-number: 1.1",Correct
11,11-3,"No","shloka.search - no",Incorrect,"",Incorrect
11,11-4,"Thank you for the insights","",Incorrect,"",Incorrect
12,12-1,"Display verse 18.18 from chapter 18","chapter.all.sloka",Incorrect,"chapter-adhyay: Chapter
chapter-number: 18.0
shloka-verse: Shloka",Correct
12,12-2,"Yes","",Incorrect,"",Incorrect
12,12-3,"Show the previous verse","get.previous.sloka",Correct,"number: null
shloka-verse: Shloka",Correct
12,12-4,"How do these verses explain the factors of action?","get.previous.sloka",Incorrect,"number: null
shloka-verse: Shloka",Correct
13,13-1,"Namaste","Default Fallback Intent",Correct,"",Incorrect
13,13-2,"Please show all verses of chapter 17","chapter.all.sloka",Correct,"chapter-adhyay: Chapter
chapter-number: 17.0
shloka-verse: Shloka",Correct
13,13-3,"Thank you","",Incorrect,"",Incorrect
13,13-4,"Which verse explains the three types of faith?","shloka.search",Incorrect,"Chapter-adhyay: 
Shloka-verse: Shloka
chapter-number: 3.0
sloka-number: ",Incorrect
14,14-1,"Provide a summary of chapter 16","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 16.0
shloka-verse: null",Correct
14,14-2,"Show verse 16.16 from chapter 16","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 16.0
sloka-number: 16.16",Correct
14,14-3,"How does this verse describe the results of desire?","get.previous.sloka",Incorrect,"number: null
shloka-verse: Shloka",Correct
15,15-1,"Show verse 15.15 of chapter 15","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 15.0
sloka-number: 15.15",Correct
15,15-2,"Yes","shloka.search - yes",Incorrect,"",Incorrect
15,15-3,"Display the next verse","get.next.sloka",Correct,"shloka-verse: Shloka",Correct
15,15-4,"How do these verses describe Krishna's all-pervasiveness?","get.previous.sloka",Incorrect,"number: null
16,16-1,"Jai Shri Krishna!","Default Welcome Intent",Correct,"person: [object Object]",Incorrect
16,16-2,"Please display verse 14.14 from chapter 14","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 14.0
sloka-number: 14.14",Correct
16,16-3,"No","shloka.search - no",Incorrect,"",Incorrect
16,16-4,"I understand, thank you for your time","",Incorrect,"",Incorrect
17,17-1,"verse 13 of chapter 13","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 13.0
sloka-number: 13.0",Correct
17,17-2,"Can you share verse 13.13?","get.previous.sloka",Incorrect,"number: 13.13
shloka-verse: Shloka",Correct
17,17-3,"Yes","get.previous.sloka - yes",Incorrect,"",Incorrect
17,17-4,"How does this verse describe the knowable?","get.previous.sloka",Incorrect,"number: null
shloka-verse: Shloka",Correct
18,18-1,"Show all verses from chapter 12","chapter.all.sloka",Correct,"chapter-adhyay: Chapter
chapter-number: 12.0
shloka-verse: Shloka",Correct
18,18-2,"Thank you","",Incorrect,"",Incorrect
18,18-3,"Which verse compares personal and impersonal worship?","get.previous.sloka",Incorrect,"number: null
shloka-verse: Shloka",Correct
19,19-1,"Give me a summary of chapter 11","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 11.0
shloka-verse: null",Correct
19,19-2,"How does this chapter describe the universal form?","chapter.summary",Incorrect,"chapter-adhyay: Chapter
chapter-number: 
shloka-verse: null",Incorrect
20,20-1,"Hare Krishna!","Default Welcome Intent",Correct,"person: [object Object]",Incorrect
20,20-2,"Could you show verse 10.10 of chapter 10?","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 10.0
sloka-number: 10.1",Incorrect
20,20-3,"Yes","shloka.search - yes",Incorrect,"",Incorrect
20,20-4,"What does this verse say about devotion and wisdom?","get.previous.sloka",Incorrect,"number: null
shloka-verse: Shloka",Correct
21,21-1,"Provide a summary of chapter 9","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 9.0
shloka-verse: null",Correct
21,21-2,"Show verse 9.9 from chapter 9","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 9.0
sloka-number: 9.9",Correct
21,21-3,"No","shloka.search - no",Incorrect,"",Incorrect
21,21-4,"Thank you for the explanation","",Incorrect,"",Incorrect
22,22-1,"Display versus 8.8 from chapter 8","chapter.summary",Incorrect,"chapter-adhyay: Chapter
chapter-number: 8.0
shloka-verse: null",Correct
22,22-2,"Yes","",Incorrect,"",Incorrect
22,22-3,"Show the previous verse","get.previous.sloka",Correct,"number: null
shloka-verse: Shloka",Correct
22,22-4,"How do these verses explain constant remembrance of the Divine?","get.previous.sloka",Incorrect,"number: null
shloka-verse: Shloka",Correct
23,23-1,"Namaste","Default Fallback Intent",Correct,"",Incorrect
23,23-2,"Please show all verses of chapter 7","chapter.all.sloka",Correct,"chapter-adhyay: Chapter
chapter-number: 7.0
shloka-verse: Shloka",Correct
23,23-3,"Thank you","",Incorrect,"",Incorrect
23,23-4,"Which verse describes Krishna's two natures?","get.previous.sloka",Incorrect,"number: 2.0
shloka-verse: Shloka",Correct
24,24-1,"Give a summary of chapter 6","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 6.0
shloka-verse: null",Correct
24,24-2,"Show verse 6.6 from chapter 6","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 6.0
sloka-number: 6.6",Correct
24,24-3,"How does this verse describe the controlled mind?","get.previous.sloka",Incorrect,"number: null
shloka-verse: Shloka",Correct
25,25-1,"Display verse 5.5 of chapter 5","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 5.0
sloka-number: 5.5",Correct
25,25-2,"Yes","shloka.search - yes",Incorrect,"",Incorrect
25,25-3,"Show the next verse","get.next.sloka",Correct,"shloka-verse: Shloka",Correct
25,25-4,"How do these verses describe the enlightened person?","get.previous.sloka",Incorrect,"number: null
shloka-verse: Shloka",Correct
26,26-1,"Jai Shri Krishna!","Default Welcome Intent",Correct,"person: [object Object]",Incorrect
26,26-2,"Please show verse 4.4 from chapter 4","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 4.0
sloka-number: 4.4",Correct
26,26-3,"No","shloka.search - no",Incorrect,"",Incorrect
26,26-4,"I appreciate your help","",Incorrect,"",Incorrect
27,27-1,"verse 3 of chapter 3","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 3.0
sloka-number: 3.0",Correct
27,27-2,"Can you share verse 3.3?","get.previous.sloka",Incorrect,"number: 3.3
shloka-verse: Shloka",Correct
27,27-3,"Yes","get.previous.sloka - yes",Incorrect,"",Incorrect
27,27-4,"How does this verse explain the two paths?","get.previous.sloka",Incorrect,"number: 2.0
shloka-verse: Shloka",Correct
28,28-1,"Show all verses from chapter 2","chapter.all.sloka",Correct,"chapter-adhyay: Chapter
chapter-number: 2.0
shloka-verse: Shloka",Correct
28,28-2,"Thank you","",Incorrect,"",Incorrect
28,28-3,"Which verse introduces the concept of the soul?","get.previous.sloka",Incorrect,"number: null
shloka-verse: Shloka",Correct
29,29-1,"Provide a summary of chapter 1","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 1.0
shloka-verse: null",Correct
29,29-2,"How does this chapter set the scene for the Gita?","get.next.chapter.summary",Incorrect,"chapter-adhyay: Chapter",Incorrect
30,30-1,"Hare Krishna!","Default Welcome Intent",Correct,"person: [object Object]",Incorrect
30,30-2,"Could you show verse 18.18 of chapter 18?","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 18.0
sloka-number: 18.18",Correct
30,30-3,"Yes","shloka.search - yes",Incorrect,"",Incorrect
30,30-4,"What does this verse say about the constituents of action?","get.previous.sloka",Incorrect,"number: null
shloka-verse: Shloka",Correct
31,31-1,"Give a summary of chapter 17","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 17.0
shloka-verse: null",Correct
31,31-2,"Show verse 17.17 from chapter 17","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 17.0
sloka-number: 17.17",Correct
31,31-3,"No","shloka.search - no",Incorrect,"",Incorrect
31,31-4,"Thank you for the insights","",Incorrect,"",Incorrect
32,32-1,"Display version 16.16 from chapter 16","chapter.summary",Incorrect,"chapter-adhyay: Chapter
chapter-number: 16.0
shloka-verse: null",Correct
32,32-2,"Yes","",Incorrect,"",Incorrect
32,32-3,"Show the previous verse","get.previous.sloka",Correct,"number: null
shloka-verse: Shloka",Correct
32,32-4,"How do these verses contrast divine and demonic qualities?","get.previous.sloka",Incorrect,"number: null
shloka-verse: Shloka",Correct
33,33-1,"Namaste","Default Fallback Intent",Correct,"",Incorrect
33,33-2,"Please show all verses of chapter 15","chapter.all.sloka",Correct,"chapter-adhyay: Chapter
chapter-number: 15.0
shloka-verse: Shloka",Correct
33,33-3,"Thank you","",Incorrect,"",Incorrect
33,33-4,"Which verse describes the supreme person?","get.previous.sloka",Incorrect,"number: null
shloka-verse: Shloka",Correct
34,34-1,"Provide a summary of chapter 14","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 14.0
shloka-verse: null",Correct
34,34-2,"Show verse 14.14 from chapter 14","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 14.0
sloka-number: 14.14",Correct
34,34-3,"How does this verse explain transcendence of the gunas?","get.previous.sloka",Incorrect,"number: null
shloka-verse: Shloka",Correct
35,35-1,"Show verse 13.13 of chapter 13","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 13.0
sloka-number: 13.13",Correct
35,35-2,"Yes","shloka.search - yes",Incorrect,"",Incorrect
35,35-3,"Display the next verse","get.next.sloka",Correct,"shloka-verse: Shloka",Correct
35,35-4,"How do these verses describe the knowable?","get.previous.sloka",Incorrect,"number: null
shloka-verse: Shloka",Correct
36,36-1,"Jai Shri Krishna!","Default Welcome Intent",Correct,"person: [object Object]",Incorrect
36,36-2,"Please display verse 12.12 from chapter 12","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 12.0
sloka-number: 12.12",Correct
36,36-3,"No","shloka.search - no",Incorrect,"",Incorrect
36,36-4,"I understand, thank you","",Incorrect,"",Incorrect
37,37-1,"verse 11 of chapter 11","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 11.0
sloka-number: 11.0",Correct
37,37-2,"Can you share verse 11.11?","get.previous.sloka",Incorrect,"number: 11.11
shloka-verse: Shloka",Correct
37,37-3,"Yes","get.previous.sloka - yes",Incorrect,"",Incorrect
37,37-4,"How does this verse describe the universal form?","get.previous.sloka",Incorrect,"number: null
shloka-verse: Shloka",Correct
38,38-1,"Show all verses from chapter 10","chapter.all.sloka",Correct,"chapter-adhyay: Chapter
chapter-number: 10.0
shloka-verse: Shloka",Correct
38,38-2,"Thank you","",Incorrect,"",Incorrect
38,38-3,"Which verse lists Krishna's divine manifestations?","get.previous.sloka",Incorrect,"number: null
shloka-verse: Shloka",Correct
39,39-1,"Provide a summary of chapter 9","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 9.0
shloka-verse: null",Correct
39,39-2,"How does this chapter describe bhakti yoga?","chapter.summary",Incorrect,"chapter-adhyay: Chapter
chapter-number: 
shloka-verse: null",Incorrect
40,40-1,"Hare Krishna!","Default Welcome Intent",Correct,"person: [object Object]",Incorrect
40,40-2,"Could you show verse 8.8 of chapter 8?","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 8.0
sloka-number: 8.8",Correct
40,40-3,"Yes","shloka.search - yes",Incorrect,"",Incorrect
40,40-4,"What does this verse say about constant meditation?","get.previous.sloka",Incorrect,"number: null
shloka-verse: Shloka",Correct
41,41-1,"Provide a summary of chapter 7","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 7.0
shloka-verse: null",Correct
41,41-2,"Show verse 7.7 from chapter 7","chapter.all.sloka",Correct,"chapter-adhyay: Chapter
chapter-number: 7.0
shloka-verse: Shloka",Correct
41,41-3,"No","",Incorrect,"",Incorrect
41,41-4,"Thank you for the explanation","",Incorrect,"",Incorrect
42,42-1,"Display verse 6.6 from chapter 6","chapter.summary",Incorrect,"chapter-adhyay: Chapter
chapter-number: 6.0
shloka-verse: null",Correct
42,42-2,"Yes","",Incorrect,"",Incorrect
42,42-3,"Show the previous verse","get.previous.sloka",Correct,"number: null
shloka-verse: Shloka",Correct
42,42-4,"How do these verses describe the mind?","get.previous.sloka",Incorrect,"number: null
shloka-verse: Shloka",Correct
43,43-1,"Namaste","Default Fallback Intent",Correct,"",Incorrect
43,43-2,"Please show all verses of chapter 5","chapter.all.sloka",Correct,"chapter-adhyay: Chapter
chapter-number: 5.0
shloka-verse: Shloka",Correct
43,43-3,"Thank you","",Incorrect,"",Incorrect
43,43-4,"Which verse talks about equanimity?","get.previous.sloka",Incorrect,"number: null
shloka-verse: Shloka",Correct
44,44-1,"Give a summary of chapter 4","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 4.0
shloka-verse: null",Correct
44,44-2,"Show verse 4.4 from chapter 4","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 4.0
sloka-number: 4.4",Correct
44,44-3,"How does this verse describe the nature of action?","get.previous.sloka",Incorrect,"number: null
shloka-verse: Shloka",Correct
45,45-1,"Display verse 3.3 of chapter 3","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 3.0
sloka-number: 3.3",Correct
45,45-2,"Yes","shloka.search - yes",Incorrect,"",Incorrect
45,45-3,"Show the next verse","get.next.sloka",Correct,"shloka-verse: Shloka",Correct
45,45-4,"How do these verses explain karma yoga?","get.previous.sloka",Incorrect,"number: null
shloka-verse: Shloka",Correct
46,46-1,"Jai Shri Krishna!","Default Welcome Intent",Correct,"person: [object Object]",Incorrect
46,46-2,"Please show verse 2.2 from chapter 2","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 2.0
sloka-number: 2.2",Correct
46,46-3,"No","shloka.search - no",Incorrect,"",Incorrect
46,46-4,"I appreciate your assistance","",Incorrect,"",Incorrect
47,47-1,"verse 1 of chapter 1","shloka.search",Correct,"Chapter-adhyay: Chapter
Shloka-verse: Shloka
chapter-number: 1.0
sloka-number: 1.0",Correct
47,47-2,"Can you share verse 1.1?","get.previous.sloka",Incorrect,"number: 1.1
shloka-verse: Shloka",Correct
47,47-3,"Yes","get.previous.sloka - yes",Incorrect,"",Incorrect
47,47-4,"How does the Gita begin?","Default Welcome Intent",Incorrect,"person: [object Object]",Incorrect
48,48-1,"Show all verses from chapter 18","chapter.all.sloka",Correct,"chapter-adhyay: Chapter
chapter-number: 18.0
shloka-verse: Shloka",Correct
48,48-2,"Thank you","",Incorrect,"",Incorrect
48,48-3,"Which verse is considered the essence of the Gita?","shloka.search",Incorrect,"Chapter-adhyay: 
Shloka-verse: Shloka
chapter-number: 
sloka-number: ",Incorrect
49,49-1,"Provide a summary of chapter 17","chapter.summary",Correct,"chapter-adhyay: Chapter
chapter-number: 17.0
shloka-verse: null",Correct
49,49-2,"How does this chapter explain the three types of faith?","chapter.summary",Incorrect,"chapter-adhyay: Chapter
chapter-number: 3.0
